Dent	{'status': '1'}
Get Lawyer App	{'status': '1'}
ImpactGRC	{'status': '1'}
IVIZE Services Inc	{'status': '1'}
Jurisweb Interactiva SL	{'status': '0'}
Pantentory	{'status': '0'}
JustEase	{'status': '0'}
Midatadin	{'status': '1'}
Notificami	{'status': '1'}
Get20	{'status': '1'}
Taxbender	{'status': '1'}
Bullseeye Law	{'status': '1'}
Calela	{'status': '0'}
Lexa	{'status': '1'}
DOCUFIEL	{'status': '0'}
SOLOMON Justice AI	{'status': '1'}
Threat Resilience	{'status': '1'}
plunes technologies	{'status': '1'}
Civil Informer	{'status': '1'}
NEXAW	{'status': '1'}
Mylex Global	{'status': '0'}
Mighty	{'status': '0'}
XCLAIM	{'status': '0'}
Wundertax	{'status': '0'}
LitiGate	{'status': '0'}
Vauban	{'status': '0'}
Clara	{'status': '2'}
SINAI	{'status': '0'}
Thirdfort	{'status': '0'}
ClaimKit	{'status': '1'}
LZVCPA	{'status': '0'}
Matterhorn	{'status': '0'}
ECFX	{'status': '0'}
HETIKUS	{'status': '0'}
TrustChain Systems	{'status': '0'}
Justify	{'status': '0'}
Turn Technologies, Inc.	{'status': '0'}
COPYTRACK	{'status': '0'}
Focus	{'status': '0'}
HighCastle	{'status': '0'}
TOPCOURT LTS	{'status': '0'}
Zeyo	{'status': '0'}
Dilecy	{'status': '0'}
CaseGuide Inc. DBA Spire Technical Services	{'status': '1'}
Hunit	{'status': '0'}
INKINDIALEGAL.com	{'status': '1'}
MUST Platform	{'status': '1'}
MINEKO	{'status': '0'}
Devlos Software	{'status': '1'}
Amiqus Resolution	{'status': '0'}
CloudLaw	{'status': '1'}
Kings Court Trust	{'status': '0'}
Dealz.ai	{'status': '1'}
Legal Manager	{'status': '0'}
Just Me Technologies	{'status': '0'}
Student Connect	{'status': '0'}
Trustlog	{'status': '0'}
ECL Direct	{'status': '0'}
Grandeo Labs	{'status': '0'}
Aalbul Ltd	{'status': '0'}
JUIT	{'status': '0'}
Assembly Software	{'status': '0'}
Torrent Detective	{'status': '1'}
APARAVI Software Corp	{'status': '1'}
Walkers	{'status': '0'}
CheKin	{'status': '0'}
ZENDOC	{'status': '0'}
Lexplique	{'status': '1'}
SurePoint Technologies	{'status': '1'}
Red Marker - AI powered compliance	{'status': 0'}
Pointer Brand Protection	{'status': '0'}
Upstock	{'status': 1''}
Origin X Capital	{'status': '1'}
UFP Fintech	{'status': '0'}
Bella Professional Services	{'status': '1'}
AuraLawgic	{'status': '0'}
Opus 2 International	{'status': '0'}
Legaltech	{'status': '1'}
LeapXpert Ltd	{'status': '0'}
LAWIO	{'status': '0'}
Codekeeper BV	{'status': '0'}
Bryan Cave Leighton Paisner	{'status': '1}
CodeREG	{'status': '0'}
Pensieve	{'status': '0'}
LawCoin	{'status': '0'}
Lawtap	{'status': '0'}
BlockAxs GmbH	{'status': '0'}
ExpressSteuer	{'status': '0'}
Summize	{'status': '1'}
Legal Automation	{'status': '1'}
Legal One GmbH	{'status': '0'}
Balko	{'status': '0'}
TIQK	{'status': '0'}
DADSUN	{'status': '0'}
Pergamin	{'status': ''}
The National Law Review	{'status': '0'}
MGROUP	{'status': '0'}
Document Modelling	{'status': '1'}
LegalForms	{'status': '0'}
F-LEX	{'status': '0'}
ipQuants AG	{'status': '0'}
Easyoffer	{'status': '1'}
ZHIANT	{'status': '0'}
FMeasure	{'status': '0'}
Branding Technology Japan	{'status': '1'}
OneWill	{'status': '0'}
Claudius Legal Intelligence, Inc.	{'status': '0'}
The Law App	{'status': '0'}
iCEIBA	{'status': '0'}
Alu	{'status': '0'}
Izwan & Partners	{'status': '1'}
Lexvoco	{'status': '0'}
Beti	{'status': '0'}
Valire	{'status': '0'}
