Status	name	date	hq	US based?	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
acquired	Allegory Law	2011	New York, New York, United States	x	Practice Management	Service Providers	Legal Tech	Allegory Law, doing business as Allegory Solutions, provides software solutions for litigation markets.	https://www.allegorylaw.com/	https://twitter.com/allegorylaw?lang=en	https://angel.co/company/allegory-law-1	https://www.crunchbase.com/organization/allegory-law	http://www.linkedin.com/company/allegory-law/	http://www.facebook.com/allegorylaw/	Information Technology, Legal, Legal Tech, Management Consulting, Management Information Systems, Software	acquired
B	Aderant	2003	Boston, MA, USA	x	Practice Management	Companies	Legal Tech	Aderant legal software offers a suite of business solutions that enable agility within law firms of all sizes around the globe, and is the #1 choice for legal practice management software among the AmLaw 200.	https://www.aderant.com/	@Aderant	https://angel.co/xmlaw	https://www.crunchbase.com/organization/xmlaw	https://www.linkedin.com/company/aderant	https://www.facebook.com/Aderant-183000441735580/	n/a	active
B	AfterSteps	2011	New York, NY, USA	x	Document Automation	Individuals	Legal Service Using Tech	Online end-of-life planning platform.	http://www.aftersteps.com	https://twitter.com/AfterStepsCo	https://angel.co/aftersteps	https://www.crunchbase.com/organization/aftersteps	n/a	http://www.facebook.com/AfterStepsCo	information, media, security	active
B	Airport Lawyer	2017	New York, New York, United States	x	Marketplace	n/a	n/a	Airport Lawyer is a community resource provided at no cost.	https://www.airportlawyer.org/	https://twitter.com/airport_lawyer?lang=en	n/a	https://www.crunchbase.com/organization/airport-lawyer	n/a	https://www.facebook.com/Airport-Lawyer-2231390243751918/	Advice, Consulting, Information Technology, Legal, Legal Tech	active
B	Alt Legal	2013	New York, NY, USA	x	Practice Management	n/a	n/a	Alt Legal makes your IP practice more productive.	https://www.altlegal.com	https://twitter.com/AltLegalHQ	https://angel.co/company/altlegal/jobs	https://www.crunchbase.com/organization/altlegal	https://www.linkedin.com/company/alt-legal-ip-management-software/	https://www.facebook.com/AltLegal/	n/a	active
B	AltaClaro	2016	New York, NY	x	Legal Education	n/a	n/a	AltaClaro is an experiential learning platform that provides attorneys with universal access to interactive professional education taught by top practitioners including one-on-one or small group practical skills training, CLE, and professional development courses.	http://www.altaclaro.com/	https://twitter.com/AltaClaro	https://angel.co/altaclaro	https://www.crunchbase.com/organization/altaclaro	https://www.linkedin.com/company-beta/12958828/	https://www.facebook.com/altaclaro/	n/a	active
B	Anaqua	2004	Boston, MA	x	Practice Management	n/a	n/a	Anaqua is a leading provider of Intellectual Asset Management software and related services.	https://www.anaqua.com	https://twitter.com/Anaqua	https://angel.co/anaqua	https://www.crunchbase.com/organization/anaqua	http://www.linkedin.com/company/anaqua	http://www.facebook.com/AnaquaIP	n/a	active
B	Atims	n/a	Los Angeles, California, United States	x	Practice Management	n/a	n/a	Atims is a law enforcement company located in Los Angeles.	https://www.atims.com/	n/a	n/a	https://www.crunchbase.com/organization/atims	https://in.linkedin.com/company/atims	https://www.facebook.com/public/Atims-Atims	Law Enforcement, Legal, Legal Tech	active
B	Bestlaw	2013	San Francisco, California, United States	x	Legal Research	n/a	n/a	Bestlaw adds features to Westlaw and Lexis to make legal research faster and easier.	https://www.bestlaw.io/	https://twitter.com/bestlaw?lang=en	n/a	https://www.crunchbase.com/organization/bestlaw	https://www.linkedin.com/company/best-law-firm	https://www.facebook.com/westlaw1	Apps, Legal, Legal Tech	active
B	Bhavnani Technologies	2014	Scottsdale, AZ, USA	x	E-Discovery	n/a	n/a	We offer a service that provides email and internet privacy and security for households and small businesses.  Bhavnani Technologies specializes in creating new and innovative hardware and software. The company's goal is to make cutting edge technology available to consumers and businesses in a way that is cost effective and easy to use. Our first generation of products are focused on improving electronic communication privacy and security.	http://www.bhavnani.info	n/a	https://angel.co/bhavnani-technologies	https://www.crunchbase.com/organization/bhavnani-technologies	https://www.linkedin.com/company/bhavnani-technologies	https://www.facebook.com/pages/Bhavnani-Technologies/673737752685954	analytics	active
