Status	name	date	hq	US based?	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
dev shop	A2J Tech Store	2018	Denver, Colorado	x	Marketplace	n/a	n/a	A2J Tech Store is a social enterprise that builds technology to improve access to justice. We provide services in technology strategy and planning, project management, document automation, and website development.	https://www.a2j.store/	@a2jtechstore	n/a	n/a	https://www.linkedin.com/company/a2j-tech-store	https://www.facebook.com/pages/category/Information-Technology-Company/A2J-Tech-Store-178955119663309/	document automation	active
good	AdaptiBar	2004	Chicago, IL, USA	x	Legal Education	n/a	n/a	AdaptiBar leads the industry as the premier bar review program. - Only AdaptiBar combines patented adaptive technology with a database of 100% of the licensed MBE questions available from the National Conference of Bar Examiners (NCBE).	https://www.adaptibar.com	https://twitter.com/AdaptiBar	n/a	https://www.crunchbase.com/organization/adaptibar	https://www.linkedin.com/company/adaptigroup-llc	https://www.facebook.com/AdaptiBar	n/a	active
B	Aderant	2003	Boston, MA, USA	x	Practice Management	Companies	Legal Tech	Aderant legal software offers a suite of business solutions that enable agility within law firms of all sizes around the globe, and is the #1 choice for legal practice management software among the AmLaw 200.	https://www.aderant.com/	@Aderant	https://angel.co/xmlaw	https://www.crunchbase.com/organization/xmlaw	https://www.linkedin.com/company/aderant	https://www.facebook.com/Aderant-183000441735580/	n/a	active
good	AdvantageLaw, Inc.	n/a	Alamo, California, United States	x	Practice Management	n/a	n/a	AdvantageLaw is the affordable, one-stop source for your law firm's business needs	http://www.advantagelaw.com/	https://twitter.com/adlawsoftware	n/a	https://www.crunchbase.com/organization/advantagelaw-inc	https://www.linkedin.com/company/advantage-law	https://www.facebook.com/advantagelawsoftware/	Legal, Legal Tech	active
good	Advobot	2017	San Francisco, California, United States	x	Document Automation	n/a	n/a	Advobot is an A.I. chatbot for automating legal documents.	https://advobot.co	https://twitter.com/advo_bot?lang=en	https://angel.co/company/advobo	https://www.crunchbase.com/organization/advobot	https://www.linkedin.com/company/advobot/	https://www.facebook.com/advobotAI/	Artificial Intelligence, Document Management, Information Technology, Legal, Legal Tech	active
B	AfterIGo	2013	San Francisco, CA, USA	x	Document Automation	Individuals	Legal Service Using Tech	Be a hero to those you love	http://www.afterigo.com/	https://twitter.com/AfterIGo	https://angel.co/after-i-go-inc	https://www.crunchbase.com/organization/after-i-go	n/a	n/a	wills, estates	active
B	AfterSteps	2011	New York, NY, USA	x	Document Automation	Individuals	Legal Service Using Tech	Online end-of-life planning platform.	http://www.aftersteps.com	https://twitter.com/AfterStepsCo	https://angel.co/aftersteps	https://www.crunchbase.com/organization/aftersteps	n/a	http://www.facebook.com/AfterStepsCo	information, media, security	active
O- dead	Aggregate Law	DEAD		x				DEAD								inactive
good	AgileLaw, LLC	2011	Austin, TX, USA	x	Practice Management	Service Providers	Legal Tech	Paperless Depositions for Attorneys	http://www.agilelaw.com/	https://twitter.com/agilelaw	https://angel.co/company/agilelaw	https://www.crunchbase.com/organization/agilelaw	http://www.linkedin.com/company/agilelaw	http://www.facebook.com/agilelaw	depositions	active
good	Agreemint	2017	San Francisco, California, United States	x	Practice Management	n/a	n/a	The Contract Platform and learns and grows with your business.	https://www.agreemint.com/	n/a	https://angel.co/company/agreemint-com	https://www.crunchbase.com/organization/agreemint	https://www.linkedin.com/company/agreemint-com/	https://www.facebook.com/agreemint	Artificial Intelligence, Information Technology, Insurance, Legal Tech	active
good	AI Patents	2012	Raleigh, NC, USA	x	Legal Research	Companies	Legal Tech	We developed a revolutionary patent search engine that addresses the problem that the same idea can be described in multiple ways.	https://www.aipatents.com	https://twitter.com/aipatents	https://angel.co/ai-patents?utm_source=companies	https://www.crunchbase.com/organization/ai-patents	http://www.linkedin.com/company/2838408	n/a	patents, patent search, saas	active
