dead	AdvantageLaw, Inc.
dead	Advobot
review	Agreemint
confirmed good	Anaqua
confirmed good	AppearMe
confirmed good	Arbitrator Intelligence
confirmed good	Assembly Software
confirmed good	Atims
confirmed good	BanyanRFP
confirmed good	Berkman Solutions
confirmed good	Bilr
confirmed good	BlackBoiler
confirmed good	BlackStone Discovery
confirmed good	Brainspace
confirmed good	Casepoint
Not US founded	Claim Flights
Not US founded	ClaimCompass
confirmed good	Claudius Legal Intelligence, Inc.
dead	Clearlaw Inc.
confirmed good	CloudLex Inc.
confirmed good	CloudNine
not live?	Conflicteam
not legal	Congruity360
review	CONTRACT LOGIX
review	Contractize INC.
confirmed good	DataNovo, Inc.
not legal	DealRoom
dead	DiligenceEngine
dead?	Divorce AI
not a company	Docracy
remove	DTI Global
confirmed good	DueCourse
dead	E-Nact
confirmed good	ECFX
not legal	EDocGen LLC
Not US founded	EDT
not legal	EDZ Systems
confirmed good	EffortlessLegal LLC
not legal	Ekdesk LLC
confirmed good	Elijah LTD
dead	Enkrypt
confirmed good	EPIQ
legal specific?	eSign Genie
not launched	Esq. Safe
review	EsqSocial
PT app?	Estate Apps LLC
dead	EXOCHAIN
confirmed good	Experts.com
confirmed good	Fair Outcomes, Inc.
not a tech company	FirstBase
acquired	Fixed
review	FreelanceLaw
confirmed good	Hotspot Law
confirmed good	Immicompliance.com
confirmed good	Intaker
confirmed good	IP Checkups
acquired	Juris
confirmed good	Justice Bid
review	Knovos
Not US founded	Laboralisto, Inc.
confirmed good	LawCloud
not launched	LawCoin
not a company	LawDeeDa
Not US founded	Lawfully
dead	Lawger
confirmed good	LAWPP, LLC
dead	LawStud.io LLC
confirmed good	LeadsOnline
can't find	Legable
is this Interactive Legal?	Legal Interactive Services
active?	Legal Passage
confirmed good	Legal Research Center
confirmed good	Legalese 2.0
good	LegalMation
not legal tech	Legalosity
confirmed good	LegalReach
review	LegalTap - On Demand Legal
dead	Legitimo
confirmed good	LexCheck
confirmed good	LexDock
dead	Lexiqual
confirmed good	ListaLegal, LLC
confirmed good	Litify
dead	Local Lawyer
dead	LucanDOCS
not legal tech	Lynx Workflow
confirmed good	Marketly
not legal tech	Matterhorn
confirmed good	Mighty
not legal tech	MileMark Media
confirmed good	Milyli
not legal tech	Mind-Alliance Systems
dead	Mootus
confirmed good	MoveDocs
confirmed good	MyLawNow
confirmed good	MyMotionCalendar
confirmed good	Nefelex
confirmed good	Novus Law
confirmed good	NuLaw
dead	Nventi
not legal tech	Of Counsel Group
not legal tech	Office Network Online
confirmed good	Onit
confirmed good	OpenLaw
confirmed good	Patent Bots LLC
confirmed good	Patent Digest
confirmed good	PatentBot
alive?	PatentPal Inc.
confirmed good	Percipient
confirmed good	Planet Data
dead	PredictGov
confirmed good	Prenupta
dead	Privatim
confirmed good	Prospero
confirmed good	Puritas Springs Software
acquired	QDiscovery
confirmed good	Quiktract
confirmed good	Qwill
review	Reasoning Technology
confirmed good	Restructuring Concepts
dead	Rghtly
acquired	RightsFlow
acquired?	Ringtail
confirmed good	Risk Genius
review	Rpost
confirmed good	RPX
confirmed good	Run the Call
confirmed good	SelfLawyer
impossible name	SeRiouS
not legal tech	SINAI
review	Sky Analytics
review	Stanford Securities Litigation Analytics
review	Startup Documents
dead	Startup Quest
confirmed good	SupportPay
not legal tech	Suralink
confirmed good	SurePoint Technologies
not legal tech	Swarm
confirmed good	Syntexys
dead	Tapdox
dead	TeamPatent
confirmed good	The Legal Assistant, LLC
review	TrademarkNow
confirmed good	Trial Boom
dead; adult content	Tyche
confirmed good	XCLAIM
confirmed good	Zelican Technologies, Inc
not live?	ZENDOC
confirmed good	ZyLAB Technologies
