['Bodhala'],"{'2013': 4, '2014': 4, '2017': 2}"
['UpCounsel'],"{'2012': 7, '2013': 3}"
['OneDome'],"{'2017': 4, '2016': 2, '2019': 1}"
['Mighty'],"{'1945': 1, '2015': 2, '2014': 1, '2017': 4, '2016': 1, '1989': 1}"
['BRYTER'],"{'2013': 2, '2018': 9, '2019': 3}"
['XCLAIM'],"{'2018': 9, '2016': 1, '2019': 2}"
['Legalpad'],"{'2018': 7, '2017': 1}"
['Plunes'],"{'2016': 5, '2019': 2}"
['LEVERTON'],"{'2012': 10, '1998': 3, '2019': 1}"
['Usercentrics'],"{'2017': 5, '2018': 2, '2019': 2}"
['Cortical.io'],"{'2011': 9, '2018': 3}"
['Brightflag'],"{'2014': 9, '2019': 2, '2015': 1, '2016': 1}"
['LegalMation'],"{'2016': 6, '2009': 1, '2019': 5}"
['Wundertax'],"{'2015': 9, '2017': 3, '2018': 3, '2011': 1}"
['Smart Protection'],"{'2015': 5, '2019': 11, '2014': 3, '2010': 1, '1988': 1}"
['The Link App'],"{'2014': 9, '2018': 4}"
['Privacy Tools'],"{'2015': 5, '2019': 6}"
['Sigalei'],"{'2016': 4, '2013': 1, '2014': 1, '2011': 1}"
['LitiGate'],"{'2017': 4, '2019': 3, '2006': 1, '2018': 2, '1977': 1}"
['Vauban'],"{'1930': 1, '1931': 1, '1942': 1, '2017': 1, '2013': 2, '2012': 1, '2019': 1}"
['Clara'],"{}"
['Validated ID'],"{'2012': 6, '2019': 11, '1999': 1, '2017': 1}"
['Parley Pro'],"{'2018': 4, '2015': 2, '2014': 1, '1968': 1}"
['LegitQuest'],"{'2017': 7}"
['Legalkart'],"{'2018': 3, '2019': 4}"
['Reynen Court'],"{'2018': 6, '2017': 1, '2019': 3, '1935': 1}"
['Orbital Witness'],"{'2017': 6, '2018': 4, '2019': 1}"
['Thirdfort'],"{'2017': 3, '2018': 1, '2019': 1, '2010': 1}"
['AppClose, Inc'],"{'2015': 5, '2016': 2, '2019': 3, '2018': 2, '1933': 1}"
['Clairvolex'],"{'2006': 9}"
['ClaimKit'],"{'2011': 8, '2015': 3, '2017': 3, '2019': 3, '2012': 3}"
['CryptoTax'],"{'2017': 1, '2019': 3}"
['LZVCPA'],"{'2016': 3, '2009': 1, '2018': 1}"
['Qwill'],"{'2015': 4, '2017': 3, '1956': 2, '1998': 1, '2005': 1}"
['Flightright'],"{'2010': 5, '2012': 1, '2019': 2}"
['AppearMe'],"{'2016': 5, '2017': 1, '2018': 2}"
['ECFX'],"{'2019': 6}"
['Autologyx'],"{'2011': 2, '2015': 1, '2019': 4, '2014': 3, '2017': 2}"
['reclamador.es'],"{'2012': 5, '2017': 2, '2019': 6, '2018': 1}"
['HETIKUS'],"{'2018': 6, '2019': 2, '2009': 1}"
['TrustChain Systems'],"{'2017': 3, '2019': 5, '2018': 1, '1906': 1}"
['Resolvvi'],"{'2016': 1, '2019': 3, '2013': 1}"
['Justify'],"{'2010': 1, '2011': 1, '2012': 1, '2018': 1, '2019': 1, '2017': 1}"
['Turn Technologies, Inc.'],"{'2016': 8, '2002': 1, '2019': 3, '2009': 1}"
['COPYTRACK'],"{'2015': 8, '2019': 4, '2018': 3, '2001': 1, '2017': 1, '2016': 1}"
['helpcheck'],"{'2016': 2, '2009': 1}"
['Doc2'],"{'2017': 4, '2018': 2, '2019': 3, '1990': 2, '2005': 1, '1944': 1, '1943': 1, '1945': 1}"
['avvoka'],"{'2015': 6, '2016': 1, '2021': 1}"
['Focus'],"{'1969': 1, '2005': 1, '2011': 2, '1998': 1, '1997': 1}"
['HighCastle'],"{'2016': 4, '2015': 4, '2019': 4, '1962': 1, '2017': 3, '2018': 1}"
['Recidiviz'],"{'2017': 1, '2019': 3}"
['TOPCOURT LTS'],"{'2016': 3, '1948': 2, '2005': 3, '2013': 1}"
['Ettorney'],"{'1972': 2, '2000': 1, '1976': 1, '2013': 3, '1932': 1, '1999': 1, '1963': 1}"
['Matter365'],"{'2018': 1, '2019': 1, '2016': 1, '2008': 1}"
['Zeyo'],"{'2018': 3, '2007': 1, '2016': 1, '2017': 3, '2015': 1, '1982': 1}"
['Amulex'],"{'2010': 1, '1979': 1, '1978': 1, '2013': 1, '2009': 1, '1974': 2, '2018': 1, '2019': 1, '2012': 1}"
['MessagePath'],"{'2018': 5, '1998': 1, '2006': 1}"
['Justice.cool'],"{'2004': 1, '2011': 1, '2018': 1, '2019': 4, '2017': 1, '2014': 1, '1973': 1, '1987': 1, '2009': 1, '2015': 1}"
['Legal Utopia'],"{'2017': 3, '2018': 2}"
['IdeaBlock'],"{'2018': 13, '2019': 5}"
['Dilecy'],"{'2011': 1, '2019': 1, '2007': 1, '2018': 1, '2017': 4, '2013': 3}"
