Mighty	{'date': '2014', 'crunchbase_url': 'https://www.crunchbase.com/organization/thatsmighty'}
Privacy Tools	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/privacy-tools'}
Vauban	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/vauban-4b11'}
Legalkart	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/legalkart'}
CryptoTax	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/cryptotax'}
Autologyx	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/autologyx'}
reclamador.es	{'date': '2012', 'crunchbase_url': 'https://www.crunchbase.com/organization/reclamador'}
TrustChain Systems	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/trustchain-systems'}
Resolvvi	{'date': '2016', 'crunchbase_url': 'https://www.crunchbase.com/organization/resolvvi'}
Justify	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/justify'}
Focus	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/focus-6004'}
Recidiviz	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/recidiviz'}
Ettorney	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/ettorney'}
Matter365	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/matter365'}
Amulex	{'date': '2010', 'crunchbase_url': 'https://www.crunchbase.com/organization/amulex'}
Justice.cool	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/refundmyticket-net'}
Dilecy	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/dilecy'}
CaseGuide, Inc. DBA Spire Technical Services	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/jet-law'}
Hunit	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/hunit'}
MUST Platform	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/must-platform'}
Elabogado	{'date': '2011', 'crunchbase_url': 'https://www.crunchbase.com/organization/elabogado-com'}
Legal Manager	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/legal-manager'}
Student Connect	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/law-student-connect'}
Trustlog	{'date': '2020', 'crunchbase_url': 'https://www.crunchbase.com/organization/trustlog'}
Divorce AI	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/divorce-ai'}
Grandeo Labs	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/grandeo-labs'}
The Legal Capsule	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/the-legal-capsule'}
Testamenta	{'date': '2012', 'crunchbase_url': 'https://www.crunchbase.com/organization/testamenta'}
Assembly Software	{'date': '2019', 'crunchbase_url': 'n/a'}
myBarrister	{'date': '2012', 'crunchbase_url': 'https://www.crunchbase.com/organization/mybarrister'}
CodeLex	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/ddlex-llc'}
Assistent.by	{'date': '2010', 'crunchbase_url': 'https://www.crunchbase.com/organization/turboheads'}
Prifina	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/prifina'}
passingboxes	{'date': '2012', 'crunchbase_url': 'https://www.crunchbase.com/organization/passingboxes'}
CheKin	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/chekin-5a93'}
Prime Clerk	{'date': '2013', 'crunchbase_url': 'https://www.crunchbase.com/organization/prime-clerk'}
Hukumonline.com	{'date': '2000', 'crunchbase_url': 'https://www.crunchbase.com/organization/hukumonline-com'}
RightNow	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/rightnow'}
Lexplique	{'date': '2011', 'crunchbase_url': 'https://www.crunchbase.com/organization/lexplique-lk-splik'}
Origin X Capital	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/origin-x-capital'}
AuraLawgic	{'date': '2020', 'crunchbase_url': 'https://www.crunchbase.com/organization/auralawgic'}
Livesense	{'date': '2006', 'crunchbase_url': 'https://www.crunchbase.com/organization/livesense'}
LAWIO	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/lawio'}
Marketly	{'date': '2010', 'crunchbase_url': 'https://www.crunchbase.com/organization/marketly-llc'}
Codekeeper BV	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/codekeeper-bv'}
Legal Nodes	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/legal-nodes'}
McCarthyFinch	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/mccarthyfinch'}
1LAW	{'date': '2001', 'crunchbase_url': 'https://www.crunchbase.com/organization/1law'}
Summize	{'date': '2018', 'crunchbase_url': 'https://www.crunchbase.com/organization/summize-7b27'}
LegalPassage	{'date': '2013', 'crunchbase_url': 'https://www.crunchbase.com/organization/legal-passage'}
Digitory Legal	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/digitory-legal'}
Balko	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/balko'}
TIQK	{'date': '2016', 'crunchbase_url': 'https://www.crunchbase.com/organization/tiqk'}
DADSUN	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/dadsun'}
Pergamin	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/pergamin'}
Valla	{'date': '2020', 'crunchbase_url': 'https://www.crunchbase.com/organization/valla-7fea'}
The National Law Review	{'date': '1888', 'crunchbase_url': 'https://www.crunchbase.com/organization/the-national-law-review'}
Document Modelling	{'date': '2011', 'crunchbase_url': 'https://www.crunchbase.com/organization/tkbt'}
Legalboards.io	{'date': '2016', 'crunchbase_url': 'https://www.crunchbase.com/organization/legalbox-io'}
JDoe	{'date': '2019', 'crunchbase_url': 'https://www.crunchbase.com/organization/jdoe'}
LegalForms	{'date': '2017', 'crunchbase_url': 'https://www.crunchbase.com/organization/biin-online'}
Tagdox	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/tagdox'}
Easyoffer	{'date': '2015', 'crunchbase_url': 'https://www.crunchbase.com/organization/easyoffer'}
Branding Technology Japan	{'date': '2001', 'crunchbase_url': 'https://www.crunchbase.com/organization/branding-technology-japan'}
OneWill	{'date': '2007', 'crunchbase_url': 'https://www.crunchbase.com/organization/onewill'}
SheriaSoft	{'date': '2013', 'crunchbase_url': 'https://www.crunchbase.com/organization/sheriasoft-technologies'}
Lawflex	{'date': '2013', 'crunchbase_url': 'https://www.crunchbase.com/organization/lawflex'}
