company_name	{'main_url': 'main_url', 'twitter_url': 'twitter_url', 'angellist_url': 'angellist_url', 'crunchbase_url': 'crunchbase_url', 'linkedin_url': 'linkedin_url', 'facebook_url': 'facebook_url'}	
Aggregate Law	{'main_url': ' https://www.aggregatelaw.com/', 'twitter_url': ' https://twitter.com/aggregatelaw?lang=en', 'angellist_url': ' https://angel.co/company/aggregate-knowledge', 'crunchbase_url': ' https://www.crunchbase.com/organization/aggregate-law', 'linkedin_url': ' https://co.linkedin.com/company/aggregate-law', 'facebook_url': ' https://www.facebook.com/Aggregate.Law/'}	503
Book-It Legal	{'main_url': ' http://www.butlerelderlaw.com/blog/2018/2/22/introducing-book-it-legal-the-innovative-legal-startup-that-may-forever-change-the-student-clerkship', 'twitter_url': ' https://twitter.com/ronfriedmann?lang=en', 'angellist_url': ' https://angel.co/legal', 'crunchbase_url': ' https://www.crunchbase.com/organization/book-it-legal', 'linkedin_url': ' https://sv.linkedin.com/company/book-it-legal', 'facebook_url': ' https://www.facebook.com/BookItRep/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 2, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 2, 'trusts': 2, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
BorderWise	{'main_url': ' https://www.borderwise.co/', 'twitter_url': ' https://twitter.com/borderwise_co?lang=en', 'angellist_url': ' https://angel.co/company/docketwise/jobs/683084-customer-success-manager', 'crunchbase_url': ' https://www.crunchbase.com/organization/borderwise', 'linkedin_url': ' https://www.linkedin.com/company/docketwise-software', 'facebook_url': ' https://www.facebook.com/borderwise/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 2, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Boundless	{'main_url': '0', 'twitter_url': ' https://twitter.com/playboundless?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor', 'angellist_url': ' https://angel.co/company/boundless-immigration', 'crunchbase_url': ' https://www.crunchbase.com/organization/boundless-2', 'linkedin_url': ' https://www.linkedin.com/company/boundless-network', 'facebook_url': ' https://www.facebook.com/boundless.org/'}	
Caliber Litigation Services	{'main_url': ' https://www.litigationservices.com/news/litigation-services-continues-expand/', 'twitter_url': ' https://twitter.com/caliberls?lang=en', 'angellist_url': ' https://angel.co/company/caliber-6/jobs', 'crunchbase_url': ' https://www.crunchbase.com/organization/caliber-3', 'linkedin_url': ' https://www.linkedin.com/company/caliber-law-s-c-', 'facebook_url': ' https://www.facebook.com/pages/category/Legal-Service/Caliber-Litigation-Services-667742360095337/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 8, 'information': 0, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Citizen Path	{'main_url': ' https://citizenpath.com/', 'twitter_url': ' https://twitter.com/citizenpath?lang=en', 'angellist_url': ' https://citizenpath.com/', 'crunchbase_url': ' https://www.crunchbase.com/organization/citizenpath', 'linkedin_url': ' https://www.linkedin.com/company/citizenpath-com', 'facebook_url': ' https://www.facebook.com/Citizenpath/'}	{'paperwork': 2, 'fundraising': 0, 'estate': 0, 'media': 0, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 4, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 3, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
Claim Kit	{'main_url': ' https://www.employers.com/claims-services/claims-kit-and-forms/state-claim-kits', 'twitter_url': ' https://help.twitter.com/en/rules-and-policies/enhanced-features-agreement', 'angellist_url': ' https://angel.co/company/revive-kit-1', 'crunchbase_url': ' https://www.crunchbase.com/organization/claimkit', 'linkedin_url': ' https://www.linkedin.com/help/linkedin/answer/55962/claim-a-linkedin-listing-page?lang=en', 'facebook_url': ' https://www.facebook.com/ClaimToolkit/?ref=py_c'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 2, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 0, 'budgeting': 0, 'analytics': 0, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 2, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 2, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
ClariLegal	{'main_url': ' https://clarilegal.com/', 'twitter_url': ' https://twitter.com/clarilegal?lang=en', 'angellist_url': ' https://bostonstartups.net/', 'crunchbase_url': ' https://www.crunchbase.com/organization/clarilegal', 'linkedin_url': ' https://www.linkedin.com/company/clarilegal', 'facebook_url': ' https://www.facebook.com/ClariLegal'}	406
ClickNotice	{'main_url': ' http://www.clicknotices.com/', 'twitter_url': ' https://twitter.com/clicknotices?lang=en', 'angellist_url': ' https://angel.co/company/click-notices', 'crunchbase_url': ' https://www.crunchbase.com/organization/click-notices-inc', 'linkedin_url': ' https://www.linkedin.com/company/click-notices-inc-', 'facebook_url': ' https://www.facebook.com/clicknoticesinc/'}	{'paperwork': 0, 'fundraising': 0, 'estate': 0, 'media': 1, 'consulting': 0, 'learning': 0, 'intelligence': 0, 'patent': 0, 'software': 1, 'budgeting': 0, 'analytics': 1, 'security': 0, 'blockchain': 0, 'litigation': 0, 'information': 1, 'trusts': 0, 'negotiation': 0, 'marketplace': 0, 'contracts': 0, 'insurance': 0, 'collaboration': 0, 'freelance': 0, 'enforcement': 0, 'education': 0, 'financials': 0, 'e-signature': 0}
