name	date	hq	category	audience	model	description	main_url	twitter_url	angellist_url	crunchbase_url	linkedin_url	facebook_url	tags	status
Abe.	2014	Toronto, ON, Canada	Marketplace	Individuals	Legal Service Using Tech	Find lawyers recommended by experienced entrepreneurs.	https://www.abe.legal/	https://twitter.com/abe_legal	https://angel.co/company/abebets	https://www.crunchbase.com/organization/abe-97ac	https://www.linkedin.com/company/abe-qualifications/	https://www.facebook.com/public/Abe-Abe	web, find-a-lawyer, entrepreneur, recommendation	inactive
AfterIGo	2013	San Francisco, CA, USA	Document Automation	Individuals	Legal Service Using Tech	Be a hero to those you love	n/a	https://twitter.com/AfterIGo	https://angel.co/after-i-go-inc	n/a	n/a	n/a	wills, estates	active
AfterSteps	2011	New York, NY, USA	Document Automation	Individuals	Legal Service Using Tech	Online end-of-life planning platform.	n/a	https://twitter.com/AfterStepsCo	https://angel.co/aftersteps	n/a	n/a	http://www.facebook.com/AfterStepsCo	information, media, security	active
ASCAPPE	2015	Houston, TX, USA	Document Automation	Individuals	Legal Tech	It's a web and mobile application that makes it easy to keep track of structural compliance requirements like probation officer fees, hearings, community service hours/confirmations, bail requirements and more.	https://ascappe.com	n/a	https://angel.co/ascappe-1?utm_source=companies	https://www.crunchbase.com/organization/ascappe	n/a	n/a	compliance, parole, probation	inactive
Align Matters	2015	Los Angeles, CA, USA	Practice Management	Companies	Legal Tech	GPS For Legal	https://alignmatters.com	https://twitter.com/alignmatters	https://angel.co/company/align-matters	https://www.crunchbase.com/organization/align-matters	n/a	n/a	law-firms, workflow	active
Arbiclaims	2015	Los Angeles, CA, USA	Online Dispute Resolution	Individuals	Legal Service Using Tech	We replace small claims court with online arbitration for <$5-10K legal claims. In doing so we provide our customers with a quicker/better alternative to small claims court.	https://Arbiclaims.com	https://twitter.com/fair_claims/status/629727529381728257?lang=en	https://angel.co/arbiclaims?utm_source=companies	https://www.crunchbase.com/organization/arbiclaims-inc	https://www.linkedin.com/company/fairclaims	n/a	arbitration, dispute resolution, odr	acquired
Caseflex	2012	New York, NY, USA	Legal Research	Service Providers	Legal Service Using Tech	Next Generation Legal Research	http://caseflex.com/	https://twitter.com/caseflex1/media	n/a	http://www.crunchbase.com/organization/litigain	n/a	https://www.facebook.com/CaseFlex1	research	inactive
AdviseHub	2013	Sunnyvale, CA, USA	Marketplace	Individuals	Legal Service Using Tech	AdviseHub makes immigration and visas faster, easier and cheaper. Our platform is an end-to-end, client centered immigration planning and management system.	https://advisehub.com	https://twitter.com/advise_hub	https://angel.co/advisehub?utm_source=companies	https://www.crunchbase.com/organization/advice-hub	http://www.linkedin.com/company/advisehub	http://www.facebook.com/ImmiAdviseHub	immigration, lawyer marketplace	inactive
Advocatalog	2011	Barcelona, Spain	Marketplace	Individuals	Legal Service Using Tech	Advocatalog is a marketplace for lawyers which will make the legal sector more transparent and accessible to the consumer. It will offer access to lawyers from 10 Euros.	http://www.advocatalog.com/	https://twitter.com/advocatalog?lang=en	https://angel.co/advocatalog-1?utm_source=companies	https://www.crunchbase.com/organization/advocatalog	https://www.linkedin.com/company/advocatalog	n/a	n/a	inactive
AI Patents	2012	Raleigh, NC, USA	Legal Research	Companies	Legal Tech	We developed a revolutionary patent search engine that addresses the problem that the same idea can be described in multiple ways.	n/a	https://twitter.com/aipatents	https://angel.co/ai-patents?utm_source=companies	n/a	http://www.linkedin.com/company/2838408	n/a	patents, patent search, saas	active
