Brightleaf	{'twitter_url': ' https://twitter.com/brightleaf', 'angellist_url': ' https://angel.co/company/brightleaf-power-1', 'main_url': ' https://www.brightleaf.com/'}
Caselinq	{'twitter_url': ' https://twitter.com/caselinq', 'angellist_url': ' https://angel.co/company/caselinq'}
Chapter 11 Dockets	{'main_url': ' https://www.chapter11dockets.com/'}
Claim Kit	{'crunchbase_url': ' https://www.crunchbase.com/organization/claimkit'}
Cooley	{'twitter_url': ' https://twitter.com/CooleyLLP', 'crunchbase_url': ' https://www.crunchbase.com/organization/cooley-llp', 'angellist_url': ' https://angel.co/company/cooley'}
DroidLaw	{'twitter_url': '', 'crunchbase_url': ' https://www.crunchbase.com/organization/droidlaw', 'angellist_url': ' https://angel.co/company/droidlaw'}
EasyDataMaps	{'twitter_url': ' https://twitter.com/easydatamaps?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/easydatamaps', 'angellist_url': ' https://angel.co/company/easydatamaps'}
eBrevia	{'twitter_url': ' https://twitter.com/ebrevia?lang=en', 'angellist_url': ' https://angel.co/company/ebrevia-3'}
experdocs	{'twitter_url': ' https://twitter.com/experdocs?lang=en', 'facebook_url': ' https://www.facebook.com/experdocs/', 'crunchbase_url': ' https://www.crunchbase.com/organization/experdocs', 'angellist_url': ' https://angel.co/company/archevos-experdocs', 'linkedin_url': ' https://www.linkedin.com/in/experdocs-software-261a4a11b'}
HotDocs	{'twitter_url': ' https://twitter.com/hotdocs'}
JusticeBid	{'twitter_url': ' https://twitter.com/justicebid?lang=en', 'angellist_url': ' https://angel.co/company/justice-bid'}
Intelligize	{'twitter_url': ' https://twitter.com/Intelligize', 'facebook_url': ' https://www.facebook.com/intelligize/', 'crunchbase_url': ' https://www.crunchbase.com/organization/intelligize'}
Jurisweb Interactiva SL	{'facebook_url': ' https://www.facebook.com/pages/Derechocom-Jurisweb-Interactiva-SL/308510092622572', 'crunchbase_url': ' https://www.crunchbase.com/organization/jurisweb-interactiva-sl'}
LawGo Inc.	{'crunchbase_url': ' https://www.crunchbase.com/organization/lawgo'}
LawyerUp	{'twitter_url': ' https://twitter.com/reallawyerup?lang=en', 'facebook_url': ' https://www.facebook.com/pages/category/Lawyer---Law-Firm/LawyerUp-1734701203461507/', 'crunchbase_url': ' https://www.crunchbase.com/organization/my-lawyerup', 'linkedin_url': ' https://www.linkedin.com/company/lawyerupinternship'}
Legify	{'twitter_url': ' https://twitter.com/legify'}
Lynx Workflow	{'twitter_url': ' https://twitter.com/lynxworkflow?lang=en', 'facebook_url': ' https://www.facebook.com/pages/Lynx-Workflow-Inc/239342119583608', 'main_url': ' http://www.lynxworkflow.com/'}
Manzama	{'twitter_url': ' https://twitter.com/manzamainc?lang=en', 'angellist_url': ' https://angel.co/company/manzama', 'main_url': ' https://manzama.com/'}
MyCourthouse	{'twitter_url': ' https://twitter.com/hashtag/mycourthouse?src=hash', 'angellist_url': ' https://angel.co/company/mycourthouse'}
PayMyTrustee	{'twitter_url': ' https://twitter.com/paymytrustee', 'crunchbase_url': ' https://www.crunchbase.com/organization/paymytrustee'}
Pramata	{'twitter_url': ' https://twitter.com/pramatacorp?lang=en', 'angellist_url': ' https://angel.co/company/pramata'}
Push Legal	{'facebook_url': ' https://www.facebook.com/pages/category/Immigration-Lawyer/Push-Legal-Services-1949583458446292/'}
RealPractice	{'crunchbase_url': ' https://www.crunchbase.com/organization/realpractice'}
Lawbrery	{'crunchbase_url': ' https://www.crunchbase.com/organization/lawbrery'}
Lexoo Ltd	{'twitter_url': ' https://twitter.com/lexoo?lang=en', 'facebook_url': ' https://www.facebook.com/lexoo.co.uk/posts/', 'crunchbase_url': ' https://www.crunchbase.com/organization/lexoo', 'angellist_url': ' https://angel.co/company/lexoo', 'linkedin_url': ' https://www.linkedin.com/company/lexoo'}
Tunnel X	{'twitter_url': ' https://twitter.com/tunnel_x?lang=en', 'facebook_url': ' https://www.facebook.com/tunnelx/', 'crunchbase_url': ' https://www.crunchbase.com/organization/tunnel-x', 'angellist_url': ' https://angel.co/company/tunnel-x-inc', 'main_url': ' https://www.tunnelx.com/', 'linkedin_url': ' https://my.linkedin.com/company/tunnel-x'}
AppClose	{'twitter_url': ' https://twitter.com/appcloseusa?lang=en', 'facebook_url': ' https://www.facebook.com/appclose/', 'crunchbase_url': ' https://www.crunchbase.com/organization/appclose-inc', 'main_url': ' https://appclose.com/', 'linkedin_url': ' https://www.linkedin.com/company/appclose'}
Turn Technologies	{'facebook_url': ' https://www.facebook.com/TurningTechnologies/', 'crunchbase_url': ' https://www.crunchbase.com/organization/turn-technologies-inc', 'angellist_url': ' https://angel.co/company/turntechnologies', 'linkedin_url': ' https://www.linkedin.com/company/turn-technologies-inc.'}
CaseGuide	{'twitter_url': ' https://twitter.com/hashtag/caseguide', 'facebook_url': ' https://www.facebook.com/CaseGuide/'}
DataNovo	{'twitter_url': ' https://twitter.com/datanovo?lang=en', 'facebook_url': ' https://www.facebook.com/datanovoUSA/', 'crunchbase_url': ' https://www.crunchbase.com/organization/datanovo-inc-', 'angellist_url': ' https://angel.co/company/datanovo-1', 'main_url': ' https://datanovo.com/', 'linkedin_url': ' https://www.linkedin.com/company/datanovo'}
InFront Compliance	{'facebook_url': ' https://www.facebook.com/InFrontCompliance/', 'crunchbase_url': ' https://www.crunchbase.com/organization/infront-compliance-inc', 'main_url': ' https://www.infrontcompliance.com/', 'linkedin_url': ' https://www.linkedin.com/company/infrontcompliance'}
Claudius Legal Intelligence	{'facebook_url': ' https://www.facebook.com/pages/category/Software/Claudius-Legal-Intelligence-115187353512342/'}
ADR Notable	{'twitter_url': ' https://twitter.com/AdrNotable', 'facebook_url': ' https://www.facebook.com/ADRNotable', 'main_url': ' https://www.adrnotable.com/', 'linkedin_url': ' https://www.linkedin.com/company/adr-notable-llc'}
Wetherington Law Firm	{'crunchbase_url': ' https://www.crunchbase.com/organization/wetherington-law-firm-p-c'}
AdvantageLaw	{'facebook_url': ' https://www.facebook.com/advantagelawsoftware/', 'crunchbase_url': ' https://www.crunchbase.com/organization/advantagelaw-inc', 'main_url': ' http://www.advantagelaw.com/', 'linkedin_url': ' https://www.linkedin.com/company/advantage-law'}
Abe.	{'facebook_url': ' https://www.facebook.com/public/Abe-Abe', 'crunchbase_url': ' https://www.crunchbase.com/organization/abe-97ac', 'angellist_url': ' https://angel.co/company/abebets', 'linkedin_url': ' https://www.linkedin.com/company/abe-qualifications/'}
AfterSteps	{'crunchbase_url': ' https://www.crunchbase.com/organization/aftersteps'}
AgileLaw	{'crunchbase_url': ' https://www.crunchbase.com/organization/agilelaw', 'angellist_url': ' https://angel.co/company/agilelaw'}
Ampulse	{'twitter_url': ' https://twitter.com/hashtag/ampulse', 'crunchbase_url': ' https://www.crunchbase.com/organization/ampulse', 'linkedin_url': ' https://www.linkedin.com/company/ampulse-corporation'}
Arbiclaims	{'facebook_url': '', 'crunchbase_url': ' https://www.crunchbase.com/organization/arbiclaims-inc'}
Caseflex	{'twitter_url': ' https://twitter.com/caseflex1/media', 'facebook_url': ' https://www.facebook.com/CaseFlex1'}
Advocatalog	{'twitter_url': ' https://twitter.com/advocatalog?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/advocatalog', 'linkedin_url': ' https://www.linkedin.com/company/advocatalog'}
AI Patents	{'crunchbase_url': ' https://www.crunchbase.com/organization/ai-patents'}
AirHelp	{'crunchbase_url': ' https://www.crunchbase.com/organization/airhelp'}
AlgoValue	{'crunchbase_url': ' https://www.crunchbase.com/organization/algovalue'}
Aluvion Law	{'facebook_url': ' https://www.facebook.com/AluvionLaw/'}
AppealTrack	{'crunchbase_url': ' https://www.crunchbase.com/organization/appealtrack'}
Arachnys	{'twitter_url': ' https://twitter.com/arachnys?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/arachnys'}
Arrest SOS	{'crunchbase_url': ' https://www.crunchbase.com/organization/arrest-sos'}
Ashem	{'facebook_url': ' https://www.facebook.com/public/Ashem', 'crunchbase_url': ' https://www.crunchbase.com/organization/ashem', 'linkedin_url': ' https://www.linkedin.com/company/ashem-group-llc'}
Ategra Computer Technology	{'crunchbase_url': ' https://www.crunchbase.com/organization/ategra-computer-technology'}
AttorneyFee	{'twitter_url': ' https://twitter.com/attorneyfee?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/attorneyfee', 'angellist_url': ' https://angel.co/company/attorneyfee', 'linkedin_url': ' https://do.linkedin.com/company/attorneyfee-com'}
Audvi	{'twitter_url': ' https://twitter.com/audviinc?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/audvi'}
Avvo	{'twitter_url': ' https://twitter.com/Avvo', 'crunchbase_url': ' https://www.crunchbase.com/organization/avvo', 'angellist_url': ' https://angel.co/company/avvo', 'main_url': ' https://www.avvo.com/'}
BackStartup	{'twitter_url': ' https://twitter.com/backstartup?lang=en', 'angellist_url': ' https://angel.co/company/backstartup', 'main_url': ' https://www.backstartup.com/'}
Big Time Software Inc	{'twitter_url': ' https://twitter.com/bigtimesoftware?lang=en', 'facebook_url': ' https://www.facebook.com/BigTimeSoftware/', 'linkedin_url': ' https://www.linkedin.com/company/bigtime-software-inc-'}
Bitproof	{'twitter_url': ' https://twitter.com/bitproofio?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/bitproof'}
Blue J Legal	{'twitter_url': ' https://twitter.com/bluejlegal?lang=en', 'angellist_url': ' https://angel.co/company/blue-j-legal', 'main_url': ' https://www.bluejlegal.com/'}
Briefed	{'crunchbase_url': ' https://www.crunchbase.com/organization/briefed', 'angellist_url': ' https://angel.co/company/briefed'}
BriefMine	{'twitter_url': ' https://twitter.com/briefmine?lang=en', 'angellist_url': ' https://angel.co/company/briefmine'}
Caldeco	{'twitter_url': ' https://twitter.com/caldeco1?lang=en', 'crunchbase_url': ' https://www.crunchbase.com/organization/caldeco'}
CapMail	{'twitter_url': ' https://twitter.com/hashtag/capmail', 'angellist_url': ' https://angel.co/company/capmail'}
