location	acquired	active	inactive
California	7	154	32
Washington	1	9	1
Massachusetts	2	20	4
New York	2	68	20
Texas	0	23	5
North Carolina	0	7	0
Florida	0	24	6
Oregon	0	3	3
Pennsylvania	1	14	1
Alabama	0	1	2
Tennessee	0	4	2
Georgia	0	15	2
Nevada	0	4	1
Illinois	0	25	6
Arizona	0	6	2
Indiana	0	3	0
Maryland	0	6	1
Minnesota	0	6	0
Ohio	0	5	1
District of Columbia	0	8	0
Colorado	1	13	1
Utah	0	4	0
Maine	0	1	1
Kansas	0	5	1
Iowa	0	1	0
Michigan	0	4	3
Virginia	1	10	1
New Jersey	0	9	0
Connecticut	1	2	0
New Hampshire	1	0	0
Delaware	0	1	0
Hawaii	0	1	0
Rhode Island	0	1	0
Oklahoma	0	1	0
Wisconsin	0	1	0
Kentucky	0	2	0
