country_name,occurrences
Canada,81
USA,779
Spain,30
NT,1
Colombia,6
UK,90
Russia,2
France,36
Mexico,8
Israel,31
Czech Republic,1
Denmark,8
Norway,3
Chile,9
Australia,38
Malaysia,5
Ukraine,6
India,53
Serbia,1
Thailand,2
Bulgaria,6
Brazil,53
Germany,46
Peru,1
Italy,9
South Africa,4
Ireland,7
Hong Kong,5
The Netherlands,22
Fla,1
Austria,3
China,6
Belgium,8
New Zealand,6
Cayman Islands,2
Singapore,9
Estonia,6
Switzerland,14
Finland,3
Taiwan,3
Japan,13
Pakistan,1
Greece,1
Sweden,11
NSW,1
Kenya,4
Netherlands,1
Lithuania,2
Bangladesh,1
Argentina,2
New England,1
Poland,6
Armenia,1
Indonesia,6
Lebanon,1
Russian Federation,8
South Korea,4
UAE,1
Turkey,1
Moscow,1
GE,1
Nigeria,1
Nepal,1
Malmö,1
Europe,1
Sénégal,1
Philippines,2
Hungary,2
Luxembourg,1
Belarus,1
Zimbabwe,2
Iran,2
Romania,1
Trinidad and Tobago,1
Zambia,1
Uganda,2
