location	acquired	active	inactive
Canada	5	64	13
USA	36	603	156
Spain	0	26	4
NT	0	1	0
Colombia	0	6	0
England	3	82	8
Russia	0	9	2
France	0	33	3
Mexico	0	8	1
Israel	0	27	4
Czech Republic	1	0	0
Denmark	0	7	1
Norway	0	4	0
Chile	0	8	1
Australia	2	31	6
Malaysia	0	5	0
Ukraine	0	6	0
India	0	44	9
Serbia	0	0	1
Thailand	0	1	1
Bulgaria	0	6	0
Brazil	0	48	8
Germany	0	44	4
Peru	0	1	0
Italy	0	9	0
South Africa	0	3	1
Ireland	1	6	0
Hong Kong	0	5	0
The Netherlands	1	21	1
Austria	0	4	0
China	0	5	1
Belgium	0	8	0
New Zealand	0	6	0
Cayman Islands	0	2	0
Singapore	0	9	0
Estonia	0	5	1
Switzerland	1	10	4
Finland	0	2	1
Taiwan	0	3	0
Japan	0	13	0
Pakistan	0	1	0
Greece	0	1	0
Sweden	0	9	2
Kenya	0	4	0
Netherlands	0	1	0
Lithuania	1	0	1
Bangladesh	0	1	0
Argentina	0	2	0
New England	0	1	0
Poland	0	6	0
Armenia	0	1	0
Indonesia	0	6	0
Lebanon	0	1	0
South Korea	0	4	0
UAE	0	1	0
Turkey	0	1	0
Nigeria	0	1	0
Nepal	0	1	0
Malmö	0	1	0
Sénégal	0	1	0
Philippines	0	2	0
Hungary	0	1	1
Luxembourg	0	1	0
Belarus	0	1	0
Zimbabwe	0	2	0
Iran	0	2	0
Romania	0	1	0
Trinidad and Tobago	0	1	0
Zambia	0	1	0
Uganda	0	2	0
